dato,aktiekurs
11/11/2003,1134.088
12/11/2003,1162.185
13/11/2003,1133.237
14/11/2003,1125.574
17/11/2003,1106.843
18/11/2003,1087.26
19/11/2003,1126.426
20/11/2003,1131.534
21/11/2003,1140.9
24/11/2003,1154.522
25/11/2003,1145.157
26/11/2003,1181.768
28/11/2003,1195.391
01/12/2003,1203.053
02/12/2003,1196.242
03/12/2003,1163.888
04/12/2003,1138.345
05/12/2003,1136.643
08/12/2003,1121.317
09/12/2003,1088.963
10/12/2003,1068.529
11/12/2003,1111.951
12/12/2003,1117.076
15/12/2003,1092.309
16/12/2003,1138.427
17/12/2003,1124.762
18/12/2003,1144.405
19/12/2003,1129.032
22/12/2003,1152.091
23/12/2003,1163.194
24/12/2003,1169.172
26/12/2003,1175.15
29/12/2003,1199.063
30/12/2003,1187.96
31/12/2003,1195.647
02/01/2004,1238.349
05/01/2004,1285.32
06/01/2004,1282.758
07/01/2004,1286.174
08/01/2004,1343.395
09/01/2004,1341.687
12/01/2004,1383.534
13/01/2004,1393.782
14/01/2004,1396.344
15/01/2004,1392.928
16/01/2004,1447.586
20/01/2004,1456.126
21/01/2004,1435.63
22/01/2004,1427.089
23/01/2004,1432.213
26/01/2004,1471.499
27/01/2004,1468.083
28/01/2004,1443.316
29/01/2004,1429.651
30/01/2004,1415.986
02/02/2004,1404.885
03/02/2004,1407.447
04/02/2004,1368.161
05/02/2004,1387.804
06/02/2004,1446.732
09/02/2004,1434.775
10/02/2004,1445.878
11/02/2004,1523.595
12/02/2004,1496.266
13/02/2004,1470.645
17/02/2004,1464.667
18/02/2004,1456.126
19/02/2004,1486.871
20/02/2004,1509.077
23/02/2004,1458.688
24/02/2004,1443.316
25/02/2004,1494.559
26/02/2004,1544.946
27/02/2004,1575.691
01/03/2004,1610.706
02/03/2004,1568.004
03/03/2004,1566.297
04/03/2004,1568.004
05/03/2004,1544.091
08/03/2004,1508.222
09/03/2004,1493.704
10/03/2004,1446.732
11/03/2004,1425.381
12/03/2004,1463.049
