"y","z","aar","maaned"
8.9,9.66,1986,8
9.66,10.32,1986,9
10.2,10.9,1986,10
10.53,11.3,1986,11
10.16,11.07,1986,12
9.81,10.87,1986,1
9.94,10.96,1986,2
10.11,11.13,1986,3
9.9,10.93,1987,4
10.04,11.05,1987,5
10.59,11.59,1987,6
10.9,11.98,1987,7
11.66,12.75,1987,8
12.08,13.18,1987,9
12.03,13.08,1987,10
11.82,12.5,1987,11
11.58,12.34,1987,12
10.9,11.85,1987,1
9.82,10.9,1987,2
9.33,10.56,1987,3
9.02,10.43,1988,4
9.29,10.55,1988,5
9.86,11.05,1988,6
9.14,10.49,1988,7
8.46,9.75,1988,8
7.8,9.05,1988,9
7.86,9.18,1988,10
8.05,9.31,1988,11
8.07,9.37,1988,12
8.01,9.25,1988,1
7.88,8.88,1988,2
7.67,8.4,1988,3
7.73,8.41,1989,4
7.61,8.1,1989,5
7.03,7.3,1989,6
6.44,6.86,1989,7
6.65,7.27,1989,8
6.73,7.41,1989,9
6.27,6.86,1989,10
5.93,6.49,1989,11
5.77,6.62,1989,12
5.72,6.56,1989,1
5.8,6.46,1989,2
5.87,6.43,1989,3
5.78,6.41,1990,4
5.96,6.56,1990,5
6.03,6.58,1990,6
6.5,7.32,1990,7
7,8.02,1990,8
6.8,7.82,1990,9
6.68,7.74,1990,10
7.03,8.03,1990,11
7.67,8.67,1990,12
7.59,8.75,1990,1
6.96,7.99,1990,2
7.17,8.13,1990,3
6.99,7.87,1991,4
6.64,7.38,1991,5
6.71,7.5,1991,6
7.01,7.83,1991,7
7.4,8.24,1991,8
7.49,8.22,1991,9
7.75,8.44,1991,10
8.17,8.77,1991,11
8.09,8.57,1991,12
8.11,8.43,1991,1
8.48,8.72,1991,2
8.99,9.11,1991,3
9.05,9.2,1992,4
9.25,9.32,1992,5
9.57,9.61,1992,6
9.36,9.4,1992,7
8.98,8.98,1992,8
8.44,8.37,1992,9
7.89,7.83,1992,10
8.18,8.13,1992,11
8.22,8.26,1992,12
7.99,8.02,1992,1
7.77,7.8,1992,2
7.72,7.77,1992,3
7.92,8.13,1993,4
8.11,8.39,1993,5
8.35,8.63,1993,6
8.4,8.78,1993,7
8.32,8.69,1993,8
8.1,8.4,1993,9
7.94,8.26,1993,10
7.78,8.22,1993,11
7.76,8.27,1993,12
7.55,8.07,1993,1
7.31,7.74,1993,2
7.05,7.47,1993,3
6.64,7.38,1994,4
6.27,7.08,1994,5
6.4,7.35,1994,6
6.24,7.23,1994,7
6.13,7.12,1994,8
6.36,7.39,1994,9
6.31,7.38,1994,10
5.78,6.8,1994,11
5.57,6.5,1994,12
5.33,6.23,1994,1
4.89,5.9,1994,2
4.38,5.39,1994,3
4.15,5.4,1995,4
4.29,5.72,1995,5
4.63,6.18,1995,6
4.3,5.93,1995,7
4.19,5.81,1995,8
4.17,5.6,1995,9
3.6,4.91,1995,10
3.47,4.72,1995,11
3.18,4.42,1995,12
3.3,4.64,1995,1
3.68,5.14,1995,2
3.71,5.21,1995,3
3.5,4.93,1996,4
3.39,4.58,1996,5
3.33,4.4,1996,6
3.24,4.3,1996,7
3.36,4.4,1996,8
3.54,4.53,1996,9
3.47,4.43,1996,10
3.44,4.36,1996,11
3.36,4.17,1996,12
3.39,4.18,1996,1
3.58,4.5,1996,2
3.61,4.54,1996,3
3.54,4.48,1997,4
3.87,4.83,1997,5
4.32,5.4,1997,6
4.82,5.99,1997,7
5.31,6.34,1997,8
5.27,6.27,1997,9
5.48,6.48,1997,10
5.56,6.5,1997,11
5.76,6.69,1997,12
6.11,7.04,1997,1
6.54,7.44,1997,2
7.14,7.71,1997,3
7.05,7.66,1998,4
6.7,7.25,1998,5
6.43,6.89,1998,6
6.27,6.68,1998,7
6,6.27,1998,8
5.64,5.8,1998,9
5.59,5.89,1998,10
5.75,6.1,1998,11
5.62,5.89,1998,12
5.59,5.77,1998,1
5.43,5.57,1998,2
5.31,5.39,1998,3
5.09,5.2,1999,4
4.94,5.14,1999,5
5.34,5.79,1999,6
5.54,6.11,1999,7
5.64,6.27,1999,8
5.81,6.49,1999,9
5.85,6.45,1999,10
5.67,6.21,1999,11
5.83,6.41,1999,12
5.55,6.08,1999,1
5.42,5.82,1999,2
5.47,5.91,1999,3
5.61,6.16,2000,4
5.53,6.03,2000,5
5.8,6.38,2000,6
5.99,6.61,2000,7
5.87,6.42,2000,8
5.69,6.24,2000,9
5.54,6,2000,10
5.56,6.06,2000,11
5.52,5.98,2000,12
5.46,5.84,2000,1
5.46,5.76,2000,2
5.53,5.74,2000,3
5.24,5.38,2001,4
5.31,5.43,2001,5
5.39,5.57,2001,6
5.38,5.58,2001,7
5.44,5.61,2001,8
5.41,5.52,2001,9
5.36,5.47,2001,10
5.21,5.24,2001,11
4.71,4.62,2001,12
4.12,4.18,2001,1
4.53,4.57,2001,2
4.52,4.48,2001,3
4.51,4.61,2002,4
4.7,4.9,2002,5
4.78,5.11,2002,6
4.69,5.03,2002,7
4.85,5.33,2002,8
5.1,5.7,2002,9
5.03,5.62,2002,10
5.2,5.77,2002,11
5.25,5.75,2002,12
5.43,5.94,2002,1
5.55,5.92,2002,2
5.84,6.14,2002,3
6.12,6.49,2003,4
6.22,6.65,2003,5
6.22,6.53,2003,6
6.15,6.36,2003,7
6.33,6.77,2003,8
6.17,6.43,2003,9
6.08,6.28,2003,10
6.18,6.17,2003,11
6.13,6.02,2003,12
6.01,5.85,2003,1
6.09,5.79,2003,2
5.6,5.26,2003,3
4.81,4.77,2004,4
4.68,4.71,2004,5
4.3,4.43,2004,6
3.98,4.42,2004,7
3.78,4.51,2004,8
3.58,4.35,2004,9
3.62,4.31,2004,10
3.47,4.04,2004,11
2.82,3.45,2004,12
2.33,3.14,2004,1
2.18,3.22,2004,2
2.22,3.62,2004,3
2.16,3.56,2005,4
2.23,3.55,2005,5
2.57,4.14,2005,6
2.48,4.01,2005,7
2.35,3.8,2005,8
2.2,3.49,2005,9
1.96,3.01,2005,10
1.76,2.52,2005,11
1.72,2.32,2005,12
1.65,2.25,2005,1
1.49,2.32,2005,2
1.45,2.23,2005,3
1.36,2.18,2006,4
1.3,2.05,2006,5
1.24,1.98,2006,6
1.27,2.06,2006,7
1.18,1.75,2006,8
1.01,1.51,2006,9
1.12,1.93,2006,10
1.31,2.44,2006,11
1.24,2.23,2006,12
1.25,2.26,2006,1
1.34,2.45,2006,2
1.31,2.44,2006,3
1.24,2.27,2007,4
1.24,2.25,2007,5
1.19,2.00,2007,6
