DATE;CLOSING;RETURN;;
13-02-2004;4579,05;5327,56;;
17-02-2004;4662,45;5424,61;;
18-02-2004;4596,8;5353,56;;
19-02-2004;4620,4;5381,11;;
20-02-2004;4570,61;5323,17;;
23-02-2004;4564,37;5316,04;;
24-02-2004;4552,79;5304,95;;
25-02-2004;4539,33;5291,57;;
26-02-2004;4531,82;5282,81;;
27-02-2004;4542,82;5295,65;;
01-03-2004;4604,8;5367,9;;
02-03-2004;4543,4;5296,32;;
03-03-2004;4523,86;5274,91;;
04-03-2004;4549,35;5304,64;;
05-03-2004;4587,77;5349,43;;
08-03-2004;4560,62;5317,78;;
09-03-2004;4534,44;5287,25;;
10-03-2004;4462,66;5204,04;;
11-03-2004;4372,67;5099,46;;
12-03-2004;4403,55;5135,47;;
15-03-2004;4316,95;5034,47;;
16-03-2004;4364,3;5090,06;;
17-03-2004;4421,83;5164,81;;
18-03-2004;4404,89;5145,03;;
19-03-2004;4365,19;5098,66;;
22-03-2004;4290,11;5010,96;;
23-03-2004;4319,77;5045,94;;
24-03-2004;4274,12;4992,61;;
25-03-2004;4338,35;5067,97;;
26-03-2004;4342,44;5077,74;;
29-03-2004;4408,19;5154,86;;
30-03-2004;4424,76;5174,24;;
31-03-2004;4437,78;5191,94;;
01-04-2004;4480,02;5241,35;;
02-04-2004;4505,71;5271,67;;
05-04-2004;4524,69;5293,88;;
06-04-2004;4498,13;5263,36;;
07-04-2004;4505,78;5272,3;;
08-04-2004;4487,24;5252,23;;
12-04-2004;4510,69;5279,73;;
13-04-2004;4438,04;5195,13;;
14-04-2004;4393,92;5144,24;;
15-04-2004;4403,81;5155,83;;
16-04-2004;4437,06;5196,7;;
19-04-2004;4449,02;5210,71;;
20-04-2004;4387,17;5138,62;;
21-04-2004;4386,07;5137,71;;
22-04-2004;4442,58;5203,91;;
23-04-2004;4429,48;5188,56;;
26-04-2004;4415,02;5174,52;;
27-04-2004;4423,53;5185,84;;
28-04-2004;4310,59;5057,52;;
29-04-2004;4286,07;5028,76;;
30-04-2004;4295,57;5040,39;;
03-05-2004;4315,64;5064,83;;
04-05-2004;4387,73;5149,66;;
05-05-2004;4424,27;5192,75;;
06-05-2004;4342,84;5097,6;;
07-05-2004;4245,78;4983,95;;
10-05-2004;4139,97;4859,73;;
11-05-2004;4176,41;4903,86;;
12-05-2004;4180,68;4912,39;;
13-05-2004;4151,08;4877,78;;
14-05-2004;4138,72;4864,12;;
17-05-2004;4103,39;4823,45;;
18-05-2004;4133,28;4858,71;;
19-05-2004;4178,17;4919,78;;
20-05-2004;4149,29;4885,77;;
21-05-2004;4181,79;4924,03;;
24-05-2004;4212,54;4961,99;;
25-05-2004;4274,69;5035,2;;
26-05-2004;4268,1;5027,43;;
27-05-2004;4338,74;5110,64;;
28-05-2004;4319,62;5088,11;;
01-06-2004;4314,14;5081,66;;
02-06-2004;4315,4;5085,9;;
03-06-2004;4284,46;5050,59;;
04-06-2004;4338,31;5114,07;;
07-06-2004;4432,2;5225,52;;
08-06-2004;4411,11;5202,02;;
09-06-2004;4329,91;5106,27;;
10-06-2004;4367,16;5150,91;;
14-06-2004;4263,85;5029,72;;
15-06-2004;4338,98;5118,72;;
16-06-2004;4340,12;5121,11;;
17-06-2004;4355,59;5139,36;;
18-06-2004;4374,96;5162,21;;
21-06-2004;4359,06;5145,89;;
22-06-2004;4352,45;5138,08;;
23-06-2004;4376,24;5166,16;;
24-06-2004;4388,15;5180,45;;
25-06-2004;4379,97;5171,04;;
28-06-2004;4396,06;5190,9;;
29-06-2004;4387,55;5180,85;;
30-06-2004;4400,34;5196,02;;
01-07-2004;4360,78;5149,62;;
02-07-2004;4372,94;5163,98;;
06-07-2004;4333;5116,81;;
07-07-2004;4361,43;5151,51;;
08-07-2004;4340,27;5126,52;;
09-07-2004;4375,23;5167,81;;
12-07-2004;4366,52;5157,52;;
13-07-2004;4357,16;5146,46;;
14-07-2004;4335,17;5120,49;;
15-07-2004;4297,46;5075,95;;
16-07-2004;4316,6;5098,56;;
19-07-2004;4306,61;5086,75;;
20-07-2004;4314,99;5096,65;;
21-07-2004;4264,02;5036,45;;
22-07-2004;4272,41;5046,72;;
23-07-2004;4197,43;4958,15;;
26-07-2004;4177,65;4934,79;;
27-07-2004;4196,15;4956,64;;
28-07-2004;4211,14;4975,02;;
29-07-2004;4247,34;5017,79;;
30-07-2004;4251,85;5025,07;;
02-08-2004;4265,2;5040,85;;
03-08-2004;4255,24;5029,08;;
04-08-2004;4238,13;5012,13;;
05-08-2004;4192,66;4959,38;;
06-08-2004;4169,8;4932,34;;
09-08-2004;4168,3;4930,56;;
10-08-2004;4199,16;4968,2;;
11-08-2004;4171,89;4942,22;;
12-08-2004;4141,45;4906,57;;
13-08-2004;4171,61;4942,31;;
16-08-2004;4216,26;4995,57;;
17-08-2004;4207,75;4985,53;;
18-08-2004;4242,67;5030,65;;
19-08-2004;4239,93;5027,39;;
20-08-2004;4253,09;5043;;
23-08-2004;4231,64;5017,71;;
24-08-2004;4217,42;5000,85;;
25-08-2004;4257,86;5048,79;;
26-08-2004;4269,46;5062,55;;
27-08-2004;4276;5070,3;;
30-08-2004;4253,52;5043,65;;
31-08-2004;4279,36;5074,29;;
01-09-2004;4297,29;5096,52;;
02-09-2004;4338,54;5145,45;;
03-09-2004;4298,58;5098,05;;
07-09-2004;4324,95;5129,33;;
08-09-2004;4326,24;5130,85;;
09-09-2004;4333,88;5139,92;;
10-09-2004;4358,16;5168,71;;
13-09-2004;4374,35;5188,44;;
14-09-2004;4383,98;5200,28;;
15-09-2004;4334,49;5143,04;;
16-09-2004;4351,72;5163,49;;
17-09-2004;4379,5;5196,46;;
20-09-2004;4355,4;5167,86;;
21-09-2004;4435,42;5263,09;;
22-09-2004;4372,65;5188,61;;
23-09-2004;4362,26;5176,27;;
24-09-2004;4354,77;5167,63;;
27-09-2004;4336,1;5147,71;;
28-09-2004;4369,86;5188,41;;
29-09-2004;4380,15;5200,63;;
30-09-2004;4392,2;5214,94;;
01-10-2004;4468,39;5305,74;;
04-10-2004;4461,95;5298,09;;
05-10-2004;4482,5;5322,49;;
06-10-2004;4503,14;5346,99;;
07-10-2004;4467,37;5304,53;;
08-10-2004;4483,99;5324,83;;
11-10-2004;4487,27;5328,73;;
12-10-2004;4437,3;5269,39;;
13-10-2004;4414,2;5241,95;;
14-10-2004;4410,91;5238,05;;
15-10-2004;4460,34;5296,75;;
18-10-2004;4461,23;5297,8;;
19-10-2004;4460,45;5296,87;;
20-10-2004;4479,7;5319,74;;
21-10-2004;4505,48;5350,35;;
22-10-2004;4478,35;5318,5;;
25-10-2004;4477,95;5318,03;;
26-10-2004;4499,98;5344,19;;
27-10-2004;4544,55;5397,82;;
28-10-2004;4555,36;5410,66;;
29-10-2004;4576,32;5436,03;;
01-11-2004;4588,16;5450,1;;
02-11-2004;4602,25;5466,83;;
03-11-2004;4668,54;5547,79;;
04-11-2004;4719,72;5608,62;;
05-11-2004;4745,69;5639,47;;
08-11-2004;4719,97;5611,43;;
09-11-2004;4710,43;5602,19;;
10-11-2004;4703,39;5593,82;;
11-11-2004;4751,06;5650,52;;
12-11-2004;4796,93;5705,31;;
15-11-2004;4783,54;5689,39;;
16-11-2004;4751,77;5652,99;;
17-11-2004;4819,54;5734,7;;
18-11-2004;4791,87;5701,78;;
19-11-2004;4764,68;5672,42;;
22-11-2004;4774,65;5684,44;;
23-11-2004;4768,93;5682,81;;
24-11-2004;4791,29;5709,45;;
26-11-2004;4838,9;5766,19;;
29-11-2004;4843,33;5771,48;;
30-11-2004;4814,69;5737,34;;
01-12-2004;4883,91;5820,5;;
02-12-2004;4861,73;5794,07;;
03-12-2004;4893,79;5832,27;;
06-12-2004;4891,16;5829,15;;
07-12-2004;4859,62;5791,56;;
08-12-2004;4852,39;5782,94;;
09-12-2004;4834,39;5761,48;;
10-12-2004;4791,62;5710,52;;
13-12-2004;4865,83;5799,47;;
14-12-2004;4868,52;5802,93;;
15-12-2004;4900,01;5840,47;;
16-12-2004;4857,75;5790,1;;
17-12-2004;4836,02;5764,2;;
20-12-2004;4878,57;5814,94;;
21-12-2004;4891,14;5829,92;;
22-12-2004;4906,87;5848,67;;
23-12-2004;4941,81;5890,31;;
27-12-2004;4967,12;5920,75;;
28-12-2004;4991,74;5950,67;;
29-12-2004;4982,66;5941,55;;
30-12-2004;5001,84;5964,42;;
31-12-2004;5005,17;5968,77;;
03-01-2005;4957,27;5911,64;;
04-01-2005;4879,91;5819,39;;
05-01-2005;4865,45;5802,68;;
06-01-2005;4863,97;5801,3;;
07-01-2005;4846,61;5780,59;;
10-01-2005;4855,8;5791,55;;
11-01-2005;4837,67;5769,92;;
12-01-2005;4867,65;5805,69;;
13-01-2005;4826,11;5756,14;;
14-01-2005;4841,77;5774,82;;
18-01-2005;4841,86;5774,93;;
19-01-2005;4797,78;5723,01;;
20-01-2005;4754,46;5671,33;;
21-01-2005;4780,07;5701,89;;
24-01-2005;4786,01;5709,38;;
25-01-2005;4791,62;5717,56;;
26-01-2005;4847,32;5784,03;;
27-01-2005;4846,91;5784,36;;
28-01-2005;4831,19;5765,6;;
31-01-2005;4864,81;5805,72;;
01-02-2005;4905,81;5854,65;;
02-02-2005;4913,35;5863,89;;
03-02-2005;4879,88;5823,95;;
04-02-2005;4916,55;5870,69;;
07-02-2005;4886,96;5835,36;;
08-02-2005;4897,27;5847,66;;
09-02-2005;4882,97;5834,68;;
10-02-2005;4938,92;5901,53;;
11-02-2005;4974,32;5943,84;;
14-02-2005;5010,5;5987,06;;
15-02-2005;5033,64;6014,72;;
16-02-2005;5024,07;6007,75;;
17-02-2005;5015,74;5998,07;;
18-02-2005;5037,34;6024,07;;
22-02-2005;5032,42;6018,18;;
23-02-2005;5035,84;6025,59;;
24-02-2005;5042,95;6034,1;;
25-02-2005;5095,18;6096,58;;
28-02-2005;5073,15;6070,22;;
01-03-2005;5087,62;6090,13;;
02-03-2005;5069,97;6071,65;;
03-03-2005;5088,97;6094,4;;
04-03-2005;5155,18;6173,7;;
07-03-2005;5145,02;6161,53;;
08-03-2005;5161,79;6181,61;;
09-03-2005;5128,01;6141,15;;
10-03-2005;5128,9;6142,22;;
11-03-2005;5125,55;6138,63;;
14-03-2005;5111,13;6121,48;;
15-03-2005;5088,54;6094,74;;
16-03-2005;5071,52;6082,73;;
17-03-2005;5082,61;6096,04;;
18-03-2005;5070,06;6081;;
21-03-2005;5022,52;6023,99;;
22-03-2005;4967,03;5957,43;;
23-03-2005;4923,57;5905,57;;
24-03-2005;4925,14;5907,45;;
28-03-2005;4917,57;5901,2;;
29-03-2005;4880,52;5857,55;;
30-03-2005;4938,23;5927,15;;
31-03-2005;4936,74;5925,36;;
01-04-2005;4921,21;5908,12;;
04-04-2005;4901,15;5884,03;;
05-04-2005;4934,54;5924,12;;
06-04-2005;4945,91;5938,51;;
07-04-2005;4975,51;5976,34;;
08-04-2005;4966,83;5968,35;;
11-04-2005;4986,78;5993,08;;
12-04-2005;4971,03;5974,15;;
13-04-2005;4930,73;5925,71;;
14-04-2005;4893,59;5881,09;;
15-04-2005;4826,6;5800,74;;
18-04-2005;4815;5788,11;;
19-04-2005;4871,32;5855,8;;
20-04-2005;4812,21;5784,75;;
21-04-2005;4880,32;5867,03;;
22-04-2005;4863,24;5851,22;;
25-04-2005;4891,06;5888,16;;
26-04-2005;4843,12;5832,09;;
27-04-2005;4817,28;5804,02;;
28-04-2005;4782,46;5764,38;;
29-04-2005;4828,08;5822,31;;
02-05-2005;4844,21;5844,85;;
03-05-2005;4844,06;5844,66;;
04-05-2005;4915,77;5932,79;;
05-05-2005;4919,13;5936,85;;
06-05-2005;4913,98;5930,63;;
09-05-2005;4918,62;5936,87;;
10-05-2005;4857,66;5865,16;;
11-05-2005;4852,85;5864,68;;
12-05-2005;4785,22;5784,59;;
13-05-2005;4757,14;5750,91;;
16-05-2005;4776,65;5774,51;;
17-05-2005;4782,69;5782,87;;
18-05-2005;4838,29;5853,43;;
19-05-2005;4848,78;5870,26;;
20-05-2005;4826,67;5843,49;;
23-05-2005;4861,17;5886,01;;
24-05-2005;4857,38;5881,42;;
25-05-2005;4847,34;5869,27;;
26-05-2005;4854,31;5878,27;;
27-05-2005;4873,58;5901,61;;
31-05-2005;4809,59;5825,14;;
01-06-2005;4839,88;5865,28;;
02-06-2005;4859,3;5891,76;;
03-06-2005;4823,57;5849,83;;
06-06-2005;4841,16;5871,15;;
07-06-2005;4864,47;5899,42;;
08-06-2005;4848,78;5881,61;;
09-06-2005;4864,67;5900,88;;
10-06-2005;4835,96;5866,15;;
13-06-2005;4834,79;5866,43;;
14-06-2005;4840,98;5874,24;;
15-06-2005;4859,77;5898,67;;
16-06-2005;4878,9;5921,89;;
17-06-2005;4950,38;6008,65;;
20-06-2005;4915,24;5969,24;;
21-06-2005;4921,28;5976,62;;
22-06-2005;4924,15;5980,11;;
23-06-2005;4878,15;5924,24;;
24-06-2005;4873,18;5918,47;;
27-06-2005;4875,12;5921,31;;
28-06-2005;4899,79;5951,94;;
29-06-2005;4897,14;5949,08;;
30-06-2005;4868,14;5914,24;;
01-07-2005;4881,59;5930,87;;
05-07-2005;4888,3;5939,02;;
06-07-2005;4888,98;5940,74;;
07-07-2005;4868,72;5916,12;;
08-07-2005;4920,34;5978,85;;
11-07-2005;4963,42;6031,19;;
12-07-2005;5008,19;6085,59;;
13-07-2005;4987,71;6060,7;;
14-07-2005;4996,1;6070,9;;
15-07-2005;4986,22;6058,9;;
18-07-2005;4974,12;6044,19;;
19-07-2005;4990,42;6064;;
20-07-2005;5020,21;6100,2;;
21-07-2005;5011,56;6089,69;;
22-07-2005;5001,94;6078,46;;
25-07-2005;4995,29;6070,37;;
26-07-2005;4990,4;6064,44;;
27-07-2005;5024,86;6107,16;;
28-07-2005;5058,97;6148,62;;
29-07-2005;5044,63;6131,19;;
01-08-2005;5087,4;6183,18;;
02-08-2005;5138,88;6245,74;;
03-08-2005;5162,06;6279,42;;
04-08-2005;5125,62;6236,27;;
05-08-2005;5097,22;6201,72;;
08-08-2005;5125,73;6236,41;;
09-08-2005;5177,61;6299,52;;
10-08-2005;5221,23;6358,84;;
